"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"391";"A023765";"2014KW04";"   100.4";"    -0.2";"     0.3"
"392";"A023765";"2014JJ00";"   100.5";"";"     0.3"
"393";"A023765";"2015KW01";"   100.0";"    -0.4";"    -0.5"
"394";"A023765";"2015KW02";"   100.2";"     0.2";"    -0.3"
"395";"A023765";"2015KW03";"   100.1";"    -0.1";"    -0.5"
"396";"A023765";"2015KW04";"    99.7";"    -0.3";"    -0.7"
"397";"A023765";"2015JJ00";"   100.0";"";"    -0.5"
"398";"A023765";"2016KW01";"    99.6";"    -0.1";"    -0.4"
"399";"A023765";"2016KW02";"   100.1";"     0.4";"    -0.1"
"400";"A023765";"2016KW03";"   100.2";"     0.1";"     0.1"
"401";"A023765";"2016KW04";"   100.4";"     0.2";"     0.7"
"402";"A023765";"2016JJ00";"   100.1";"";"     0.1"
"403";"A023765";"2017KW01";"   101.2";"     0.8";"     1.6"
"404";"A023765";"2017KW02";"   101.5";"     0.2";"     1.4"
"405";"A023765";"2017KW03";"   101.5";"     0.0";"     1.3"
"406";"A023765";"2017KW04";"   101.8";"     0.3";"     1.4"
"407";"A023765";"2017JJ00";"   101.5";"";"     1.4"
"408";"A023765";"2018KW01";"   103.6";"     1.8";"     2.3"
"409";"A023765";"2018KW02";"   104.2";"     0.5";"     2.7"
"410";"A023765";"2018KW03";"   104.8";"     0.6";"     3.3"
"411";"A023765";"2018KW04";"   105.3";"     0.5";"     3.5"
"412";"A023765";"2018JJ00";"   104.5";"";"     2.9"
"413";"A023765";"2019KW01";"   108.1";"     2.6";"     4.3"
"414";"A023765";"2019KW02";"   108.7";"     0.6";"     4.4"
"415";"A023766";"2002KW04";"";"";""
